architecture,mlstm,slstm,window,total_seconds,seed,accuracy,balanced_accuracy,cohen_kappa,f1_weighted,auroc_macro_ovr,auroc_weighted_ovr,auroc_macro_ovo,auroc_weighted_ovo,aucpr_macro,aucpr_micro,checkpoint_type
mLSTM+sLSTM,True,True,2-2,5,10,0.6728,0.438,0.3794,0.6727,0.8434,0.8465,0.7795,0.8326,0.4533,0.756,loss
mLSTM+sLSTM,True,True,2-2,5,123,0.6939,0.4944,0.4054,0.6871,0.852,0.8444,0.7903,0.8368,0.485,0.7616,bal_acc
mLSTM+sLSTM,True,True,2-2,5,123,0.7112,0.4616,0.435,0.7,0.8743,0.8896,0.8064,0.8615,0.488,0.8056,loss
mLSTM+sLSTM,True,True,2-2,5,42,0.73,0.5252,0.5092,0.7445,0.8606,0.8789,0.8216,0.8525,0.5039,0.7953,bal_acc
mLSTM+sLSTM,True,True,2-2,5,42,0.7177,0.4808,0.4459,0.7133,0.8455,0.8539,0.7898,0.8371,0.5114,0.7774,loss
mLSTM+sLSTM,True,True,2-2,5,456,0.6598,0.5076,0.4217,0.6881,0.8624,0.8667,0.8198,0.8527,0.4716,0.7336,bal_acc
mLSTM+sLSTM,True,True,2-2,5,456,0.7469,0.4876,0.5216,0.7497,0.8394,0.8949,0.7854,0.8449,0.4754,0.8186,loss
mLSTM+sLSTM,True,True,2-2,5,999,0.7239,0.4951,0.472,0.7281,0.8762,0.8708,0.8377,0.8644,0.4827,0.799,bal_acc
mLSTM+sLSTM,True,True,2-2,5,999,0.7063,0.38,0.3835,0.681,0.8453,0.8767,0.7611,0.8405,0.4204,0.7974,loss
mLSTM+sLSTM,True,True,3-3,7,10,0.6712,0.5139,0.4066,0.6799,0.8642,0.8535,0.8206,0.8496,0.4609,0.7402,bal_acc
mLSTM+sLSTM,True,True,3-3,7,10,0.6779,0.4521,0.4087,0.6888,0.8149,0.8521,0.7653,0.816,0.4503,0.7368,loss
mLSTM+sLSTM,True,True,3-3,7,123,0.6989,0.5315,0.4643,0.7128,0.8596,0.8811,0.8324,0.8567,0.5127,0.7683,bal_acc
mLSTM+sLSTM,True,True,3-3,7,123,0.7305,0.4538,0.4848,0.7354,0.8225,0.8785,0.7595,0.8222,0.4514,0.7906,loss
mLSTM+sLSTM,True,True,3-3,7,42,0.6984,0.5074,0.443,0.71,0.8523,0.8595,0.8185,0.8428,0.4793,0.7685,bal_acc
mLSTM+sLSTM,True,True,3-3,7,42,0.7376,0.4877,0.4848,0.7352,0.8673,0.8571,0.8163,0.8514,0.4924,0.7924,loss
mLSTM+sLSTM,True,True,3-3,7,456,0.7238,0.5135,0.4698,0.7242,0.8508,0.8771,0.7985,0.8479,0.4737,0.8014,bal_acc
mLSTM+sLSTM,True,True,3-3,7,456,0.7478,0.4818,0.5277,0.7579,0.841,0.9057,0.7886,0.8468,0.4614,0.8268,loss
mLSTM+sLSTM,True,True,3-3,7,999,0.7087,0.4568,0.4301,0.7083,0.845,0.8436,0.8016,0.8354,0.4677,0.7625,bal_acc
mLSTM+sLSTM,True,True,3-3,7,999,0.7087,0.4568,0.4301,0.7083,0.845,0.8436,0.8016,0.8354,0.4677,0.7625,loss
mLSTM+sLSTM,True,True,4-4,9,10,0.6884,0.4822,0.3744,0.6716,0.8472,0.831,0.8014,0.8345,0.476,0.7599,bal_acc
mLSTM+sLSTM,True,True,4-4,9,10,0.6628,0.4299,0.3618,0.6642,0.8168,0.849,0.7725,0.8162,0.4355,0.7307,loss
mLSTM+sLSTM,True,True,4-4,9,123,0.667,0.5111,0.4155,0.6857,0.843,0.858,0.8141,0.8391,0.4575,0.7352,bal_acc
mLSTM+sLSTM,True,True,4-4,9,123,0.7336,0.4395,0.4927,0.7363,0.8598,0.8928,0.8039,0.851,0.4762,0.811,loss
mLSTM+sLSTM,True,True,4-4,9,42,0.7099,0.5057,0.4576,0.718,0.8595,0.8719,0.8241,0.8547,0.4966,0.7923,bal_acc
mLSTM+sLSTM,True,True,4-4,9,42,0.7392,0.4084,0.4486,0.7167,0.8206,0.8708,0.7535,0.8232,0.437,0.8075,loss
mLSTM+sLSTM,True,True,4-4,9,456,0.7297,0.5069,0.4913,0.739,0.8663,0.8739,0.824,0.8555,0.4888,0.8019,bal_acc
mLSTM+sLSTM,True,True,4-4,9,456,0.6934,0.4598,0.4177,0.6959,0.8442,0.8638,0.7914,0.8371,0.4432,0.7596,loss
mLSTM+sLSTM,True,True,4-4,9,999,0.699,0.4989,0.4173,0.6921,0.8444,0.839,0.8002,0.8367,0.4419,0.7516,bal_acc
mLSTM+sLSTM,True,True,4-4,9,999,0.6983,0.4917,0.4791,0.7224,0.8405,0.8755,0.8022,0.8371,0.5159,0.7585,loss
